symbol,AD,ALS,AnorexiaNervosa,BipolarDisorder,BrainAneurysm,EssentialTremor,FrontotemporalDementia,IntracranialHemorrhage,LBD,MajorDepressiveDisorder,MigraineDisorder,MigraineWithAura,MS,NarcolepsyCataplexy,Narcolepsy,NeuroticDisorder,OCD,PartialEpilepsy,PD,ProgressiveSupranuclearPalsy,RestlessLeg,Schizophrenia,TouretteSyndrome,UnipolarDepression,cluster2129,cluster0565
HCN1,0.0,0.0,0.4489614013789914,0.4316716544316151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4316716544316151,0.0,0.0,0.0,0.0,0.7045048445580969,0.4316716544316151,0.4316716544316151,1,7
IGSF9B,0.0,0.0,0.5075639362781464,0.5075639362781464,0.0,0.0,0.0,0.0,0.0,0.0,0.5146905893266059,0.0,0.0,0.0,0.0,0.0,0.5075639362781464,0.0,0.7401965530217107,0.0,0.0,0.8010588008821857,0.5075639362781464,0.5075639362781464,1,11
IMMP2L,0.0,0.0,0.6268847679389881,0.5624051058228627,0.0,0.0,0.0,0.0,0.0,0.0,0.1961801161839987,0.0,0.0,0.0,0.0,0.0,0.5473058496610436,0.0,0.0,0.0,0.0,0.7850366710533045,0.5958058080215055,0.5473058496610436,1,7
KCNB1,0.0,0.0,0.5206707149436234,0.7468572996711648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5206707149436234,0.0,0.0,0.0,0.0,0.6166044415473508,0.5206707149436234,0.647824244581078,1,7
KCNV1,0.0,0.0,0.3696804696293931,0.3696804696293931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3696804696293931,0.0,0.0,0.0,0.0,0.5728863914995364,0.3696804696293931,0.3696804696293931,1,7
KIZ,0.0,0.0,0.453252177065285,0.453252177065285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.453252177065285,0.0,0.0,0.0,0.0,0.453252177065285,0.453252177065285,0.453252177065285,1,7
LMAN2L,0.0,0.0,0.3610130831532633,0.6430741837039067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3610130831532633,0.0,0.0,0.0,0.0,0.4913083772782414,0.3610130831532633,0.4517372704896977,1,7
LRFN5,0.0,0.0,0.4765208029020331,0.5918575001532664,0.0,0.0,0.0,0.0,0.0,0.6568589822706976,0.0,0.0,0.0,0.0,0.0,0.0,0.4765208029020331,0.0,0.0,0.0,0.0,0.4765208029020331,0.4765208029020331,0.7150611914658447,1,6
MAD1L1,0.0,0.0,0.4111468440094178,0.5375889934873703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3308481895722215,0.3289232873816123,0.0,0.0,0.0,0.0,0.5780587928461071,0.3289232873816123,0.5180835199053428,1,8
MEF2C,0.0,0.0,0.6036753116528735,0.7041676515982265,0.0,0.0,0.4863446380892968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6036753116528735,0.0,0.0,0.0,0.0,0.6600880939238525,0.6036753116528735,0.7684242330036197,1,10
MOCS2,0.0,0.0,0.4861648085536703,0.4861648085536703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4861648085536703,0.0,0.0,0.0,0.0,0.4861648085536703,0.4861648085536703,0.4861648085536703,1,7
MRPS33,0.0,0.0,0.4003121851471394,0.5677986729446516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4003121851471394,0.0,0.0,0.0,0.0,0.4980480049985719,0.4003121851471394,0.4003121851471394,1,7
NAA11,0.0,0.0,0.5351340057586361,0.5351340057586361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5351340057586361,0.0,0.0,0.0,0.0,0.7480111641998596,0.5351340057586361,0.6705696285506283,1,7
NEGR1,0.0,0.0,0.4816810641132539,0.7346777438102321,0.0,0.0,0.0,0.0,0.0,0.6530272463185582,0.0,0.0,0.0,0.0,0.0,0.0,0.4816810641132539,0.0,0.0,0.0,0.0,0.7091969626371837,0.4816810641132539,0.8111730256606478,1,6
NGEF,0.0,0.0,0.4654214963725188,0.6512683912901315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4576568556463605,0.0,0.0,0.0,0.0,0.6749842375546792,0.5302145566164873,0.4576568556463605,1,7
NPAS3,0.0,0.0,0.5412379865767734,0.5412379865767734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5412379865767734,0.0,0.0,0.0,0.0,0.5632420544915137,0.5412379865767734,0.5412379865767734,1,7
NR4A2,0.0,0.0,0.4105108475856381,0.5131385594820477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3860804754077673,0.4105108475856381,0.0,0.3171902967427846,0.0,0.0,0.5117122416563098,0.4105108475856381,0.6018125694959373,1,8
OLFM4,0.0,0.0,0.51596999233376,0.666608200714002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51596999233376,0.0,0.0,0.0,0.0,0.51596999233376,0.51596999233376,0.8168505180743553,1,7
PAX6,0.0,0.0,0.3653839177780489,0.4559137197788122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5232045184634558,0.3653839177780489,0.0,0.0,0.0,0.0,0.3653839177780489,0.3653839177780489,0.5855191588658465,1,8
PCLO,0.0,0.0,0.3882477568527906,0.6539400882474142,0.0,0.0,0.0,0.0,0.0,0.4848270663927405,0.0,0.0,0.0,0.0,0.0,0.2570485983955286,0.3882477568527906,0.0,0.0,0.0,0.0,0.5677129917614574,0.3882477568527906,0.6460284438376265,1,6
PDE4B,0.0,0.0,0.526699867191112,0.526699867191112,0.0,0.0,0.0,0.0,0.0,0.4067871427417736,0.0,0.0,0.0,0.0,0.0,0.0,0.526699867191112,0.0,0.0,0.0,0.0,0.6601189572737926,0.526699867191112,0.526699867191112,1,6
PLCL1,0.0,0.0,0.3420605401019497,0.4766826322458132,0.30947457163921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3420605401019497,0.0,0.0,0.0,0.0,0.4543638177632925,0.3420605401019497,0.4392608264512444,1,7
PPP1R13B,0.0,0.0,0.4734731347086081,0.458953624516525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3758058633628623,0.0,0.0,0.0,0.0,0.6180605961094565,0.3758058633628623,0.3758058633628623,1,7
PPP1R16B,0.0,0.0,0.439014126113546,0.439014126113546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439014126113546,0.0,0.0,0.0,0.0,0.7173206182808174,0.439014126113546,0.439014126113546,1,7
