0
ADCYAP1
ADM
ADM2
ALK
ANGPT2
ANGPTL4
ANXA1
APLP1
APP
ASGR1
ASGR2
ATP2A2
AVP
BDNF
BMP6
BRS3
BTN1A1
C1QL1
CALCA
CALCB
CALR
CD163
CD22
CD244
CDH10
CDH5
CELSR3
CGA
CHRNA3
CNTN4
CRH
CSF1
CSF2
CSF3
CSF3R
CXCL12
CXCL8
CYP17A1
DCC
DCLK3
DRAXIN
EGF
EP300
ESR2
FSHB
FURIN
FYN
GCG
GHRH
GIP
GPC2
GPR20
GRIA1
GRIN2A
GRPR
HP
IAPP
ICAM1
IFNG
IGFBPL1
IL16
IL1B
INSL3
ITGA4
ITGA6
ITGAM
ITGB1
ITGB2
JAK1
JAK2
JAK3
KDM3B
KDR
KNG1
LHB
LIFR
LRFN5
LRP1
LRP2
LRRC4B
MDK
MDM2
MPL
NCL
NEGR1
NID1
NMB
NMBR
NOTCH1
NOTCH2
NOX4
NPS
NPTX1
NR0B2
NTN1
NTN4
NTS
PDGFA
PLG
PLXNA1
PLXNA4
PLXNB2
PLXNC1
POMC
PSG7
PSG9
PTH
PTH2
PTHLH
PTK2
PTN
PTPN6
PTPRB
PTPRD
PTPRF
PTPRG
PTPRS
PTPRZ1
RLN2
RLN3
RORA
SCT
SDC1
SDC2
SDC3
SEMA6D
SLIT2
SLURP1
SLURP2
SOCS2
SRC
SRPK2
TGFB1
THPO
TLR4
TP53
TPO
TREM2
TSHB
TSPAN1
TYK2
VEGFA
VIP
VRK2
WNT5A
