,0
FYN,0.13349274122684657
PDGFRB,0.031473673763258915
WNT3,0.01651854156091415
WNT9B,0.016492546769268413
SNCA,0.015948989414532183
ITGA2B,0.012437739391696767
ITGA8,0.011276297852673126
APOE,0.010766274219941481
FGF20,0.010316558201719355
CNTN1,0.008694922351960425
NECTIN2,0.008185957712987559
CSF1R,0.005443142023249011
SV2C,0.004741628651462042
S1PR1,0.0045714111073901316
MAP4K4,0.004567446336143176
CRHR1,0.004561421300586022
TNF,0.004291275326191707
ATM,0.003375860501436459
CD38,0.0032853978871180637
PLA2G6,0.0031559429882670794
IFNG,0.002962691956879466
FCGR2A,0.002828848781163661
SYNJ1,0.0028251174689436255
PAM,0.002797979855260042
CHRNB1,0.002797979855260042
SCN3A,0.002513159091159983
SCN2A,0.002513159091159983
EFNB1,0.0024232215540074737
CTSB,0.002333332974165891
PDGFB,0.0021396380765631956
TP53,0.002113860400969302
FGF13,0.0019615304462088827
FGF14,0.0019615304462088827
FGF12,0.0019615304462088827
FGF11,0.0019615304462088827
ADCY5,0.0019162591325970536
EDN1,0.0019162591325970536
TUBB3,0.0019162591325970536
STX4,0.0019162591325970536
MAPT,0.0019162591325970536
TXLNA,0.0019162591325970536
CAMK2D,0.0018198484416609173
FGFR3,0.0018113321149736896
LRP6,0.001787466638767217
STK39,0.0017860982043765967
VTN,0.0017549680423517694
TNC,0.0017323224735167387
PECAM1,0.0016750393783759763
CD226,0.0016725503263233293
PLD2,0.0016544533149116282
SRC,0.0016544533149116282
PRKCA,0.0016544533149116282
PRKCE,0.0016544533149116282
PTPRZ1,0.0016499047574882986
APP,0.0016303163061440536
SDC2,0.0016303163061440536
SPP1,0.0016146544729384786
EGFR,0.00160342575059534
PIK3R1,0.00160342575059534
PIK3CA,0.00160342575059534
PLCG1,0.00160342575059534
IGF1R,0.00160342575059534
MAPK1,0.0015892354205138827
MAPK3,0.0015892354205138827
KIT,0.0015854426647626226
PDGFD,0.0015854426647626226
PTPN11,0.0015854426647626226
KDR,0.0015322367569100385
FXYD1,0.001475398771265559
SLURP1,0.001475398771265559
DPP4,0.001475398771265559
SLURP2,0.001475398771265559
EGF,0.0014678606272009204
IGF1,0.0014678606272009204
VEGFA,0.001449035776679576
FGF2,0.001449035776679576
SI,0.001449035776679576
LAMA5,0.0014258812811418933
LAMA3,0.0014258812811418933
LAMA4,0.0014258812811418933
LAMB1,0.0014258812811418933
LAMB2,0.0014258812811418933
LAMA1,0.0014258812811418933
LAMB3,0.0014258812811418933
LAMC1,0.0014258812811418933
LAMC2,0.0014258812811418933
LAMC3,0.0014258812811418933
LAMA2,0.0014258812811418933
LRP5,0.0013632543571860804
UCN3,0.001254968590599812
UCN2,0.001254968590599812
CRH,0.001254968590599812
UCN,0.001254968590599812
COMPLEX:CSF1_IL34,0.001210882554466663
CSF3,0.001210882554466663
IL34,0.001210882554466663
CSF1,0.001210882554466663
CSF2,0.001210882554466663
COMPLEX:FZD7_LRP6,0.001135191677732629
COMPLEX:FZD8_LRP5,0.001135191677732629
COMPLEX:FZD7_LRP5,0.001135191677732629
COMPLEX:FZD10_LRP5,0.001135191677732629
COMPLEX:FZD10_LRP6,0.001135191677732629
COMPLEX:FZD5_LRP5,0.001135191677732629
COMPLEX:FZD6_LRP5,0.001135191677732629
COMPLEX:FZD9_LRP5,0.001135191677732629
COMPLEX:FZD1_LRP5,0.001135191677732629
FZD3,0.001135191677732629
COMPLEX:FZD4_LRP6,0.001135191677732629
COMPLEX:FZD9_LRP6,0.001135191677732629
COMPLEX:FZD4_LRP5,0.001135191677732629
COMPLEX:FZD5_LRP6,0.001135191677732629
COMPLEX:FZD3_LRP6,0.001135191677732629
COMPLEX:FZD3_LRP5,0.001135191677732629
FZD9,0.001135191677732629
FZD8,0.001135191677732629
FZD7,0.001135191677732629
FZD6,0.001135191677732629
FZD5,0.001135191677732629
COMPLEX:FZD1_LRP6,0.001135191677732629
FZD4,0.001135191677732629
FZD2,0.001135191677732629
FZD1,0.001135191677732629
COMPLEX:FZD2_LRP5,0.001135191677732629
COMPLEX:FZD8_LRP6,0.001135191677732629
COMPLEX:FZD6_LRP6,0.001135191677732629
COMPLEX:FZD2_LRP6,0.001135191677732629
FZD10,0.001135191677732629
SEMA3G,0.0010903476282565414
CXCL9,0.0010903476282565414
EFNB3,0.0010866194803554718
EFNB2,0.0010866194803554718
COMP,0.0010604590611379054
COL6A6,0.0010604590611379054
CHAD,0.0010604590611379054
COL6A3,0.0010604590611379054
COL11A2,0.0010604590611379054
RELN,0.0010604590611379054
THBS4,0.0010604590611379054
VWF,0.0010604590611379054
THBS1,0.0010604590611379054
THBS2,0.0010604590611379054
CALML3,0.0010599142645405762
DYRK1A,0.001058277910040849
CD80,0.0010454998268179254
IFNA1,0.0009844370784923562
CXCL8,0.0009844370784923562
PVRIG,0.0009819480264397092
NECTIN3,0.0009819480264397092
PVR,0.0009819480264397092
TIGIT,0.0009819480264397092
PARD3,0.0009819480264397092
AFDN,0.0009819480264397092
CD96,0.0009819480264397092
NECTIN4,0.0009819480264397092
MST1R,0.0009780413451094653
MS4A1,0.0009780413451094653
MCAM,0.0009780413451094653
NOX4,0.0009780413451094653
NFE2L2,0.0009780413451094653
MAPK14,0.0009780413451094653
HCK,0.0009780413451094653
GSK3B,0.0009780413451094653
RAF1,0.0009780413451094653
RACK1,0.0009780413451094653
GRM1,0.0009780413451094653
GRIN2B,0.0009780413451094653
GRIN2A,0.0009780413451094653
PTPRT,0.0009780413451094653
MAPK7,0.0009780413451094653
