symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PIK3CD	0.02549587691970714	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.20969390775950847	No data	No data	1	0	0	1	1	0	0.7317999999999998	1	-0.8910189622838092	-0.2595534050104259	0	No data	No data	0	0.75	0
BMPER	0.002751316695986113	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02262853524443256	No data	No data	No data	0	1	0	0	0	0.6350349999999999	No data	-0.3041258595540738	-0.8254204330686343	0	-1	No data	0	-1	0
CD58	0.05152559140729217	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4237784268351008	No data	No data	No data	1	0	0	1	0	No data	No data	-0.3144405084392582	No data	0	No data	No data	No data	-1	-1
GAPDH	0.005913277674955229	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04863446380892969	No data	No data	No data	1	0	1	1	1	0.67164	No data	-0.29912481767034804	-0.5608534310456883	-1	No data	No data	-0.20895499999999992	0.75	-1
IL6ST	0.5429414049729632	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8915860004448433	No data	No data	No data	No data	No data	No data	0.030227670214577826	No data	No data	1	1	1	0	1	1	0	No data	-0.8514273807043133	-0.9651221811105051	0	No data	-1	0	-1	-1
ITGAX	0.0397093021644563	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3265939340502431	No data	No data	No data	1	0	0	0	0	0	No data	-0.23244425922067102	0	0	No data	No data	-0.12725749999999997	0.5	0
JAK2	0.04619748183558772	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07599134970145263	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	1	0.6863950000000003	1	-0.7031673265263596	-0.8880652763329555	0	-1	-1	0	-1	-1
CALR	0.02089775431135417	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17187609505436488	No data	No data	No data	0	0	0	0	0	0.7002400000000002	No data	-0.6513857053552823	-0.9222726838122416	0	No data	-1	0	-1	-1
CYP7A1	0.016692690103259033	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13729103846062443	No data	No data	No data	0	0	0	1	1	0.07738000000000014	No data	-0.1088768493436133	-0.9198189221773592	0	-1	No data	0	1	1
CRP	0.027778430595924795	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2284670451394959	No data	No data	No data	0	1	0	0	1	0	No data	0.9482183788289227	-0.6781325815419675	0	No data	No data	0	1	0.5
PRKAA2	0.009609076221802246	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07903100368951074	No data	No data	0.75	0	0	1	1	1	0.8913049999999998	No data	0.012710981454469694	-0.3341579599788755	0	-1	No data	-0.4067025000000001	0.5	0
PDXP	0.004434958256216422	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03647584785669727	No data	No data	No data	1	0	0	0	1	0.5270249999999997	No data	0.4708272556782662	-0.3221446747527304	0	No data	No data	0	0.75	-1
CH25H	0.0029566388374776143	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	No data	No data	0	0	0	0	0	0	No data	-0.046676390914773935	0	0	No data	No data	0	0.5	0
CEBPZ	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	0	0	0	0.07969500000000025	No data	-0.4087309856220046	No data	-1	No data	No data	No data	-1	-1
CD24	0.008910980940731143	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07328943504540099	No data	No data	No data	0	0	0	0	0	0	No data	No data	-0.08327841560306276	No data	No data	No data	No data	0.5	-1
IL1RL1	0.0029566388374776143	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	No data	0.75	1	1	0	0	0	0	No data	0.31787872473431955	0	0	No data	No data	0	0.75	0
CD14	0.00794596687572109	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06535256074324927	No data	No data	0.5	0	1	0	1	0	0	No data	0.6772244217545322	-0.689013872391479	0	No data	No data	No data	0.5	-1
AHSG	0.00813075680306344	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06687238773727831	No data	No data	No data	0	1	0	0	0	0	No data	0.7266097103563243	-0.27362722255158123	0	No data	No data	0	1	0.5
SNCG	0.015152774042072777	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12462581351038234	No data	No data	No data	0	0	0	0	0	0.21259999999999976	No data	0.7005626172119193	No data	0	No data	No data	0	0.5	0
JAK1	0.04850222287382982	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07599134970145263	No data	No data	No data	No data	No data	No data	0.0758224800354494	No data	No data	1	0	0	1	1	0	0.7400350000000003	1	-0.8714315482392165	-0.9404746140460091	0	No data	-1	0	-1	-1
MAPK8	0.014783194187388075	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	0.5	0	0	1	1	1	0.859485	1	-0.8801833715357366	-0.8841094031117802	0	No data	No data	-0.7716625	-1	-1
OPN3	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	1	0	0	0	0	0.3532350000000001	No data	-0.020941862888101737	-0.2869433129937879	0	No data	No data	0	0.5	0
VTN	0.00914791012126898	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07523808760148683	No data	No data	No data	0	1	0	0	0	0	No data	0.18535111481558664	-0.101334915822818	0	No data	No data	0	1	0
FXN	0.006652437384324632	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0547137717850459	No data	No data	No data	0	0	0	0	0	0	No data	-0.22963117316107517	-0.8842561414451002	0	No data	No data	No data	-1	-1
IGHV3-64	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	1	1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	-0.7669499999999999	0.5	0
ANP32B	0.04425419785669806	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.36397397557879624	No data	No data	No data	0	0	0	0	0	0.36255000000000026	No data	-0.7137945405292769	-0.8732959741102442	0	No data	No data	-0.2729075000000002	-1	-1
CCNA2	0.008869916512432843	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07295169571339452	No data	No data	No data	0	0	1	1	0	0.27083500000000027	No data	-0.9565534486351324	No data	-1	No data	No data	0	0.5	0
PRIM2	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.46955000000000024	No data	0.15482392165034375	No data	No data	No data	No data	No data	0.5	-1
INS	0.00997865607648695	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08207065767756885	No data	No data	No data	0	1	0	0	0	0.09091000000000023	No data	0.316941029381121	-0.9659480566852074	0	No data	No data	0	1	0
GORASP1	0.016631093460811583	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13678442946261474	No data	No data	No data	0	0	0	0	0	0.136365	No data	-0.290893936236716	0	0	No data	No data	0	-1	-1
TAS1R1	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	1	0	0	1	0	0	No data	0.3201708689310272	0	0	No data	No data	0	1	1
SLCO6A1	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	1	0	0	0	0	0	No data	0.11585747030631377	-0.101334915822818	0	No data	No data	0	1	1
UGT1A4	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	1	1	0	0	No data	0.2751614919774954	No data	0	-1	No data	-0.8361425	1	0.5
PDS5A	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.8952899999999999	No data	-0.8911231506563868	-0.9120761163684373	0	No data	No data	-0.22213999999999992	-1	-1
