symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
RPS6KB1	0.002867502358772115	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021277577916406734	0.009226161171007653	No data	0.25	0	0	1	1	0	0.9714300000000001	No data	-0.7320275057303605	-0.2526492713744044	0	No data	No data	-0.12857249999999992	-1	-1
PRL	0.020426026976508495	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1679963168238578	No data	No data	No data	0	1	0	0	0	0	No data	0.5506355490727235	-0.8750190691015405	0	-1	No data	0	1	0
DLG4	0.038495437663958534	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3166103593961322	No data	1	0	1	1	0	0.937845	No data	-0.8413211085642842	-0.7364549157690886	0	No data	No data	-0.37154750000000014	0.75	-1
LRP1	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	0.75	1	0	0	0	0	0.89987	No data	-0.9970827255678266	-0.9203827454128568	0	No data	No data	-0.02288750000000004	0.5	-1
HAP1	0.005543697820270526	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04559480982087158	No data	No data	No data	0	0	0	0	0	0	No data	0.7097311939987498	-0.7911127628753978	0	No data	No data	0	0.5	0
ZNF83	0.0020522431932210733	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.016878921098287217	No data	No data	0	0	0	0	0	No data	No data	No data	No data	0	No data	No data	0	-1	-1
SLC25A38	0.008415115398285813	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0692111292218316	No data	No data	No data	0	0	0	0	0	0.3421050000000001	No data	0.24150864763492397	-0.43428573990479	0	No data	No data	0	-1	-1
PTEN	0.0025870589827929123	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021277577916406734	No data	No data	No data	0	0	0	1	0	No data	No data	-0.4888518441341946	-0.9668974985358577	0	-1	-1	0	-1	-1
ZNF597	0.030852526269078907	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25375031492309064	No data	0	0	0	0	0	0	No data	0.09679099812460934	-0.2653255102192273	0	No data	No data	0	-1	0
IGKV1-16	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	1	1	0	0	0	0	No data	No data	No data	No data	No data	No data	-0.8931625000000001	0.5	0
TGM1	0.007206807166351686	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.05927325276713306	No data	No data	No data	1	0	1	1	0	0.5348849999999998	No data	0.02594290477182737	-0.6151980075331039	0	No data	No data	0	1	0
ZNF738	0.0013041497313305323	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.010726136399522345	No data	No data	0	0	0	0	0	0	No data	0.29266513857053544	-0.031038826058105984	No data	No data	No data	-0.24666749999999987	-1	0
TMEM106B	0.019014945363350938	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1563907062946555	No data	No data	No data	0	0	0	0	0	0.7992699999999999	No data	-0.371014794748906	-0.3002775963334284	0	No data	No data	No data	-1	-1
MT-ND1	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	0	0	0	0	0	No data	No data	No data	No data	-1	No data	No data	0.5	-1
CALM2	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	0	0	0	1	No data	-0.6689935403209002	-0.7277052597941727	0	No data	No data	-1	-1	-1
OFD1	0.001650259651087958	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.013572759083528391	No data	No data	0	0	0	0	0	0	No data	-0.7244217545321943	0	0	No data	No data	No data	-1	-1
MS4A6A	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	0	0	0	0	0	0	No data	0.9820795999166494	No data	0	No data	No data	0	-1	-1
