symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
SRCIN1	0.006354720279161956	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.052265161627999095	No data	No data	No data	0	0	0	0	0	0.543535	No data	No data	-0.6489854916879458	0	No data	No data	0	1	0
GPS1	0.0044349582562164215	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03647584785669726	No data	No data	No data	0	0	0	0	0	0.8049300000000003	No data	-0.8490310481350282	No data	-1	No data	No data	0	-1	-1
CLOCK	0.02810166049709438	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23112548835737082	No data	No data	No data	0	0	0	0	0	0.8049649999999999	No data	-0.8285059387372369	-0.9200694459012315	0	-1	No data	0	-1	-1
TMPRSS13	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	1	0	0	0	0	0.09170999999999978	No data	-0.017399458220462627	0	0	No data	No data	0	0.5	0
CADPS2	0.009054706439775195	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07447152270742358	No data	No data	No data	0	0	0	0	0	0.7955249999999999	No data	-0.6984788497603667	-0.3471698176994917	0	No data	No data	No data	0.5	0
SLC6A1	0.27886799089870645	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	0.6633022277741496	No data	No data	1	1	0	1	1	0	0.8998350000000002	0	-0.9414461346113774	-0.33622458439050956	0	-1	No data	0	0.75	0
ATP6V1G2-DDX39B	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	No data	No data	No data	No data	No data	No data
PPP3CA	0.004958529717019749	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04078202433977958	No data	No data	1	0	0	0	1	0	0.9808050000000001	No data	-0.9339445717857887	-0.7039351503923621	0	No data	No data	-0.5729375000000001	0.5	-1
GJA5	0.018833173428307926	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15489570114146092	No data	No data	No data	1	0	0	0	0	0.07820999999999997	No data	No data	-0.9497348095479754	0	No data	No data	0	0.5	0
DAP	0.023653110699820915	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19453785523571876	No data	No data	No data	0	0	0	0	0	0.8039200000000001	No data	0.7076474265471973	-0.4547912827212672	0	No data	No data	0	-1	-1
LGR5	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.2888649999999998	No data	-0.22900604292560955	-0.7528394880349489	0	No data	No data	0	0.5	0
FCGR3A	0.05233495871830832	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4304351656793567	No data	No data	0.5	1	1	0	0	0	0	No data	0.6125234423838299	0	0	No data	No data	-0.72441	0.5	-1
YEATS2	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	0	0	0	0	0	0.3284100000000002	1	-0.7851635757449469	-0.6647584635678294	-1	No data	No data	0	-1	-1
XRCC4	0.02259570167113968	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1858410674365525	No data	No data	No data	0	0	0	0	1	0	No data	0.2253594498853928	-0.6348809687515777	0	No data	No data	No data	-1	-1
NDP	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	0	1	0	0	0	0.6992499999999999	No data	-0.04230047926651381	-0.8839612983201647	0	No data	No data	No data	0.5	0
PPP1R9A-AS1	0.002301262553204119	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01892701079008576	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
HTR7	0.2898121922159964	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.46771831392914076	No data	No data	No data	No data	No data	No data	0.18001471854982337	No data	No data	1	1	0	1	1	0	0.38413499999999984	1	-0.285684517607835	-0.2024885471391505	0	-1	No data	0	0.75	0.5
SRY	0.0018478992734235094	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	No data	0	0	0	0	0	0	No data	No data	-0.07989605802508737	0	No data	No data	0	0.5	0.5
PTPA	0.015517220843220188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12762325008193962	No data	No data	No data	0	0	0	1	0	0.8142400000000002	No data	-0.8138153782037925	0	0	No data	No data	No data	-1	-1
TNF	0.11620534462790419	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9557448404032196	No data	No data	1	1	1	1	1	1	0	0	-0.5138570535528235	-0.9827310106118933	0	-1	No data	0	0.5	0
ZNF274	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	0	0	0	0	No data	-0.53240258387164	-0.37488308494159406	No data	No data	No data	0	-1	-1
Metazoa_SRP	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	-0.49814250000000015	No data	No data
JTB	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	0	0	0	0	0	0.28081999999999996	No data	-0.30996040841842054	-0.25459799357483687	0	No data	No data	No data	-1	-1
TRIM46	0.03224214652269338	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2651794139181891	No data	0	0	0	0	0	0.8945999999999998	No data	-0.8516357574494686	-0.15291586888694558	0	No data	No data	0	1	0.5
COPS7A	0.0025870589827929123	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021277577916406734	No data	No data	No data	0	0	0	0	0	0.7454549999999998	No data	-0.2795374036257554	-0.6549690298853214	0	No data	No data	0	-1	-1
PYGO1	0.0017223100596235887	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.014165346338678936	No data	No data	0	0	0	0	0	0.47494000000000014	No data	-0.8528860179204001	No data	0	No data	No data	0	-1	0
KHDRBS3	0.049279777823658145	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4053074627676678	No data	0	0	0	0	0	0.8554900000000003	No data	-0.5075015628255887	0	0	No data	No data	-0.21242750000000007	0.5	-1
BST1	0.031085772221813256	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2556686743288873	No data	No data	No data	1	0	0	0	1	0	No data	0.5052094186288809	0	0	No data	No data	0	0.75	-1
ATM	0.016180822004520718	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13308111768716394	No data	No data	No data	0	0	1	1	0	0.20974999999999966	1	-0.24598874765576162	-0.9367675903105338	0	-1	-1	0	-1	-1
SUGP1	0.038126586946056716	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3135767022812852	No data	No data	No data	0	0	0	0	0	0.44960999999999984	No data	-0.7964159199833298	-0.7624548969258074	-1	No data	No data	0	-1	-1
TUBA3C	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	1	No data	-0.05667847468222542	0	0	No data	No data	-1	1	1
HTATIP2	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	0	0	0	0	1	0.40082499999999965	No data	0.9265471973327777	-0.6191737030817559	0	No data	No data	No data	-1	-1
Metazoa_SRP	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	-0.750995	No data	No data
PCDH11X	0.010972252736143086	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09024261296885924	No data	No data	No data	1	0	0	0	0	0.13140500000000016	No data	-0.4233173577828714	No data	0	No data	No data	-0.7791399999999999	0.75	0.5
