symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
SYNGR1	0.00268998057375789	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02212406892631548	No data	No data	0	0	0	0	0	0.7210299999999996	No data	-0.3352781829547823	0	0	No data	No data	0	0.5	-1
USH1G	0.05060287370342938	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4161894240449158	No data	0	0	0	0	0	0.8156199999999998	No data	0.2180662638049593	-0.340419420370508	0	No data	No data	0	0.5	0.5
DENND11	0.004746719308468377	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03903996414655107	No data	No data	0	0	0	0	0	0.813185	No data	-0.12638049593665346	No data	0	No data	No data	No data	-1	0
PPP3CB	0.04583159777944987	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.37694749105908565	No data	0	0	0	1	0	0.9618299999999997	No data	-0.980516774327985	-0.825635206429984	0	No data	No data	-0.5610675	0.5	-1
IGF1	0.011087395640541052	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09118961964174316	No data	No data	0.5	0	1	0	0	0	0	No data	-0.1297145238591373	-0.9488735079765309	0	-1	No data	0	0.5	0
TNKS	0.0035110086195046675	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.028876712886552	No data	No data	0.5	0	0	1	1	0	0.8605899999999999	1	-0.6237757866222129	-0.7163480131239769	0	No data	No data	-0.28221500000000005	-1	-1
PARL	0.026609749537298527	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2188550871401836	No data	No data	No data	0	0	1	1	0	0.525065	No data	-0.2018128776828506	-0.9036390388928017	0	No data	No data	0	-1	-1
CCNL1	0.00841934551932169	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06924592036132063	No data	No data	0	0	0	0	0	0.8859299999999998	No data	-0.8055844967701604	No data	0	No data	No data	0	-1	-1
NRIP1	0.005622054814918838	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.046239266352405696	No data	No data	0	0	0	0	0	0.23143499999999975	No data	-0.7858928943529901	-0.09005894390651137	0	No data	No data	No data	-1	-1
XPO4	0.0046101649496047645	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037916856389878004	No data	No data	0	0	0	0	0	0.9261499999999998	No data	-0.9466555532402584	-0.2906263795870023	0	No data	No data	0	0.5	-1
