symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
SORCS3	0.31994030028499093	0.5262774999094322	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6194749999999999	No data	-0.5418837257762034	-0.12511711754295884	0	No data	No data	-0.028232500000000015	0.75	0.5
RBFOX1	0.3203098801396756	0.5262774999094322	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	0	0	0	0.9118400000000001	No data	-0.7087934986455511	0	0	No data	No data	-0.12468499999999985	0.5	0
TCF4	0.31787357557574863	0.5222699638979347	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	1	1	1	0	0.8956800000000001	No data	-0.8679933319441551	-0.8635153822854807	0	No data	No data	-0.049925	-1	-1
THOC7	0.31197671183853704	0.5131780016149874	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8774500000000003	No data	-0.11273181912898522	0	-1	No data	No data	No data	-1	-1
DCC	0.306712740838684	0.5045191690298747	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8237749999999998	No data	-0.7819337361950407	-0.8189821205550432	0	No data	No data	0	0.5	0.5
IGSF9B	0.30263496901730075	0.4978115440215619	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.7981900000000003	No data	-0.7215044801000208	-0.101334915822818	0	No data	No data	0	-1	0
CACNA1C	0.30432204164377374	0.4963922616504236	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08388777474057921	No data	No data	1	1	0	1	1	0	0.7521050000000002	No data	-0.9779120650135444	-0.9657418232114862	0	-1	No data	-0.17329250000000015	0.5	0
CNTN4	0.3011126612658159	0.4953074633639187	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0.756335	No data	-0.47301521150239634	No data	0	No data	No data	-0.11306000000000012	0.5	0
TSNARE1	0.296914462046062	0.4884017444297121	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	No data	No data	-0.09741612836007496	No data	0	No data	No data	0	-1	-1
ZNF804A	0.29309584861803434	0.4821204152997686	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.5222963117316107	-0.5334310964091995	0	-1	No data	0	0.5	0.5
