symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
FOS	0.013073538555011376	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	1	1	0	0.6842100000000002	No data	-0.32433840383413215	-0.9085455453549762	0	-1	No data	0	-1	-1
MVK	0.005543697820270526	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	1	0.027779999999999916	No data	-0.439362367159825	-0.7241994246687139	-1	No data	No data	0	0.5	-1
GSTA4	0.21005115410637787	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.34551819866933253	No data	No data	No data	No data	No data	No data	0	0	0	0	1	No data	No data	-0.012398416336736773	No data	0	No data	No data	0	0.5	-1
RGPD8	0.27446638737221274	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.45147636614316855	No data	No data	No data	No data	No data	No data	0	0	0	0	0	No data	No data	0.19410293811210666	-0.8850106429445306	No data	No data	No data	-0.9872525	0.5	-1
TSHZ2	0.0026157584201355302	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.5212749999999999	No data	-0.7460929360283393	No data	0	No data	No data	0	-1	0
ARPC4	0.3463093245031531	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5688988374835828	No data	No data	No data	No data	No data	No data	0	0	0	0	0	1	No data	-0.8039174828089185	-0.3854529523727676	-1	No data	No data	No data	-1	-1
PIKFYVE	0.49775372342661234	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8169432866598113	No data	No data	No data	No data	No data	0.5	0	0	1	1	0	0.6735	1	-0.6401333611168993	-0.9486509476618893	0	No data	No data	0	-1	-1
LINC00205	0.002422698830819584	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
OTX1	0.0026292262534711704	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.87288	No data	-0.5693894561366952	-0.8708959059169138	0	No data	No data	0	0.75	0.5
IFNG-AS1	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
