symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
GRM3	0.44174889592870176	0.7179521812214991	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17382418434698804	No data	No data	0.75	1	0	1	1	0	0.83504	0	-0.6571160658470514	-0.23254160433628684	0	-1	No data	-0.17519999999999988	1	0.5
MEIS2	0.4348395760392787	0.7137582568728087	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.9790349999999997	No data	-0.906438841425297	-0.8853996389962199	0	No data	No data	-0.2243175000000001	0.5	0
RBFOX1	0.4341824650966487	0.7105442820825347	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07305808360297657	No data	No data	No data	0	0	0	0	0	0.9118400000000001	No data	-0.7087934986455511	0	0	No data	No data	-0.12468499999999985	0.5	0
SORCS3	0.429533717240114	0.7049629741720976	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03174749720860688	No data	No data	No data	0	0	0	0	0	0.6194749999999999	No data	-0.5418837257762034	-0.12511711754295884	0	No data	No data	-0.028232500000000015	0.75	0.5
TCF4	0.4321785638736612	0.7040040600255205	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13793721775568135	No data	No data	No data	0	1	1	1	0	0.8956800000000001	No data	-0.8679933319441551	-0.8635153822854807	0	No data	No data	-0.049925	-1	-1
SLC39A8	0.4271627544951467	0.7026502953516122	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.4673900000000003	No data	-0.541987914148781	-0.9247102645357993	0	-1	No data	0	0.5	0
ZNF804A	0.43341163436934677	0.7016156542551317	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.22627147985416285	No data	No data	No data	0	0	0	0	0	0	No data	-0.5222963117316107	-0.5334310964091995	0	-1	No data	0	0.5	0.5
CNTN4	0.4260898029150275	0.6989222616075701	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03926219734575053	No data	No data	No data	1	1	0	0	0	0.756335	No data	-0.47301521150239634	No data	0	No data	No data	-0.11306000000000012	0.5	0
OLFM4	0.42188852250263875	0.6939745842127312	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	No data	0.23546572202542193	-0.19734394579047826	0	No data	No data	0	0.5	0
RGS6	0.42289269557795794	0.6935830497130159	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04086645917278119	No data	No data	No data	0	0	0	0	0	0.7551000000000002	No data	-0.6284642633882058	-0.5716940165100484	0	No data	No data	-0.27040749999999997	0.5	0
GRIN2A	0.5185680460177037	0.6933122675454995	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6263275106495504	No data	No data	No data	No data	No data	No data	0.1399911304962996	No data	No data	1	0	0	1	1	0	0.7643450000000002	1	-0.9013336111689936	-0.32209325976066877	0	-1	-1	0	1	0.5
MSRA	0.42372611964672663	0.6901665139904742	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1366155597966115	No data	No data	No data	0	0	0	0	0	0.27659499999999965	No data	0.9435299020629297	No data	0	No data	No data	0	0.5	0
DCC	0.41706070951736235	0.6852732849457516	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	No data	0	0	0	0	0	0.8237749999999998	No data	-0.7819337361950407	-0.8189821205550432	0	No data	No data	0	0.5	0.5
CTSF	0.4147497279816304	0.6807119823024541	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	1	0	1	1	1	0	No data	0.34955198999791626	-0.6639741881075147	0	No data	No data	0	-1	0
