,0
0,S100A12
1,SFTPD
2,CXCL10
3,DRAXIN
4,GRIA1
5,ITGB8
6,HSPA4
7,FGF14
8,ATM
9,VRK2
10,DLL4
11,PLA2G6
12,ITGA2B
13,TGFB1
14,ITGB5
15,CD40LG
16,ITGB3
17,CD80
18,ITGA8
19,SCN1A
20,IL6
21,SCGB3A1
22,PTH
23,VIP
24,TUBA4A
25,CNTN4
26,DLL3
27,LRP1
28,IAPP
29,HP
30,TREM2
31,JAG1
32,JAG2
33,ANXA1
34,DLK1
35,S100A1
36,NTN4
37,SDC2
38,AGT
39,SCARB1
40,PSEN1
41,ITGA10
42,IFNG
43,IL1B
44,CCK
45,PRKD1
46,ABL1
47,RELN
48,DCC
49,APOE
50,SCN2A
51,S100A8
52,IL16
53,C4B_2
54,GRIN2A
55,ITGA5
56,ITGA1
57,IGF1
58,CCN1
59,ITGA3
60,ITGAV
61,LRP4
62,PTPRG
63,THBS2
64,TP53
65,LSR
66,TNF
67,SPON1
68,POMC
69,PSG7
70,ITGB6
71,LFNG
72,ITGA2
73,LRP8
74,EDN1
75,RETN
76,STK39
77,DLL1
78,PRG4
79,GCG
80,IGFBPL1
81,FYN
82,BDNF
83,LRP6
84,LRP5
85,PSG9
86,LRP2
87,ITGB1
88,CR1
89,ANGPTL2
90,ITGA6
91,FGF11
92,UNC5C
93,ITGA9
94,APLP1
95,ITGB7
96,ITGA7
97,ITGA4
98,CHRNA4
99,IL1A
100,LDLR
101,TBK1
102,FGF12
103,NTS
104,IL18
105,VLDLR
106,EGF
107,WNT3A
108,TLR4
109,HDAC4
110,AVP
111,IL21
112,NOTCH3
113,DCN
114,ITGB4
115,S100A9
116,C1QL1
117,SLIT2
118,ITGA11
119,SCN9A
120,NOTCH1
121,DEFB4B
122,FGF13
123,NTN1
124,APOB
125,APP
126,NPTX1
127,ADCY2
