"","Feature","Comparison","Estimate","P","FDR","Gene","Color","invert_P"
"4190","Mettl16","NeuN vs pSyn",0.442001478793945,0.00291209877546704,0.00809812632697591,"Mettl16","NS or FC < 0.5",2.53579389827632
"4191","Mettl17","NeuN vs pSyn",0.163725464634331,0.228967976040431,0.308903339334821,"Mettl17","NS or FC < 0.5",0.640225254784451
"4192","Mettl22","NeuN vs pSyn",0.527073933240184,0.000137486993589011,0.000688578152481549,"Mettl22","Enriched in pSyn FDR < 0.01",3.86173838459514
"4193","Mettl23","NeuN vs pSyn",0.242585041819299,0.0893087449817814,0.140014664395349,"Mettl23","NS or FC < 0.5",1.04910601354837
"4194","Mettl26","NeuN vs pSyn",-0.113173891529534,0.436790835069572,0.524299879746723,"Mettl26","NS or FC < 0.5",-0.359726482758606
"4195","Mettl5","NeuN vs pSyn",0.514713907702691,0.000519831808324896,0.00200370323729328,"Mettl5","Enriched in pSyn FDR < 0.01",3.28413714969586
"4196","Mettl6","NeuN vs pSyn",0.338910361072631,0.0114771375847407,0.0250291909433098,"Mettl6","NS or FC < 0.5",1.94016641212607
"4197","Mettl7a1","NeuN vs pSyn",0.0580981272178071,0.67134546741523,0.74070170937802,"Mettl7a1","NS or FC < 0.5",0.173053938873681
"4198","Mettl8","NeuN vs pSyn",0.479910795757605,0.000256018357930748,0.00113222019770157,"Mettl8","NS or FC < 0.5",3.59172889225779
"4199","Mettl9","NeuN vs pSyn",-0.219611188806024,0.0634175116262278,0.105195975016024,"Mettl9","NS or FC < 0.5",-1.19779080280404
"4200","Mex3b","NeuN vs pSyn",0.320417322858186,0.0156160949965936,0.0323381660083023,"Mex3b","NS or FC < 0.5",1.80642755774789
"4201","Mex3d","NeuN vs pSyn",0.486698564810642,0.000721057354074373,0.00261217048679309,"Mex3d","NS or FC < 0.5",3.14203018941739
"4202","Mfap1a","NeuN vs pSyn",-0.586664423803025,1.45221115924828e-05,0.000111826333381876,"Mfap1a","Enriched in NeuN FDR < 0.01",-4.83797023031031
"4203","Mfap3","NeuN vs pSyn",0.0634792642363814,0.61393595070513,0.690343660811556,"Mfap3","NS or FC < 0.5",0.211876934569348
"4204","Mfap3l","NeuN vs pSyn",0.644211755113142,1.90937885930007e-05,0.000139686137601426,"Mfap3l","Enriched in pSyn FDR < 0.01",4.71910789026601
"4205","Mff","NeuN vs pSyn",-0.670524001963882,3.59413448085502e-07,5.32344344828281e-06,"Mff","Enriched in NeuN FDR < 0.01",-6.44440567703211
"4206","Mfhas1","NeuN vs pSyn",-0.187472662383273,0.14154278408643,0.206564214863657,"Mfhas1","NS or FC < 0.5",-0.849112266258793
"4207","Mfn1","NeuN vs pSyn",-0.109500195001036,0.401878690173047,0.488954210303458,"Mfn1","NS or FC < 0.5",-0.395905021888633
"4208","Mfn2","NeuN vs pSyn",-0.441286207978953,2.69152440527009e-05,0.000184226689406176,"Mfn2","NS or FC < 0.5",-4.57000167788579
"4209","Mfsd1","NeuN vs pSyn",0.229363488584432,0.0642618810616848,0.10624082257865,"Mfsd1","NS or FC < 0.5",1.19204656601212
"4210","Mfsd12","NeuN vs pSyn",0.0337672598778356,0.824086092601985,0.865568222117988,"Mfsd12","NS or FC < 0.5",0.0840274150154368
"4211","Mfsd13a","NeuN vs pSyn",0.552442861236291,0.000344739145213173,0.00143999915718956,"Mfsd13a","Enriched in pSyn FDR < 0.01",3.46250939954874
"4212","Mfsd14a","NeuN vs pSyn",0.0392096495488614,0.784526536108374,0.832258536492044,"Mfsd14a","NS or FC < 0.5",0.105392362095487
"4213","Mfsd14b","NeuN vs pSyn",0.426482223178899,0.00154883854008612,0.00485388699607286,"Mfsd14b","NS or FC < 0.5",2.80999385325722
"4214","Mfsd4a","NeuN vs pSyn",-0.519300741282309,0.00040761254156401,0.00164483220769577,"Mfsd4a","Enriched in NeuN FDR < 0.01",-3.38975246193683
"4215","Mfsd4b2","NeuN vs pSyn",0.117516855146967,0.352912967974887,0.439015374590817,"Mfsd4b2","NS or FC < 0.5",0.452332382964883
"4216","Mfsd4b4","NeuN vs pSyn",0.421829927292863,0.00224530639886436,0.00653976251248854,"Mfsd4b4","NS or FC < 0.5",2.6487243859496
"4217","Mfsd5","NeuN vs pSyn",-0.036891089940145,0.737953424902277,0.795348824286303,"Mfsd5","NS or FC < 0.5",-0.131971047318196
"4218","Mfsd6","NeuN vs pSyn",-0.358428785231643,0.0249137269125228,0.0480932231181844,"Mfsd6","NS or FC < 0.5",-1.60356130030478
"4219","Mga","NeuN vs pSyn",-0.201492760659025,0.159592075219545,0.228295503421247,"Mga","NS or FC < 0.5",-0.796988677984483
"4220","Mgat1","NeuN vs pSyn",-0.524783010938609,0.000198052304134536,0.000910637439112229,"Mgat1","Enriched in NeuN FDR < 0.01",-3.70322010066139
"4221","Mgat2","NeuN vs pSyn",0.174788701540861,0.178938847407946,0.25135455322307,"Mgat2","NS or FC < 0.5",0.747295364388389
"4222","Mgat3","NeuN vs pSyn",-0.552263460804045,2.08870430433354e-05,0.000150130814555716,"Mgat3","Enriched in NeuN FDR < 0.01",-4.68012303828006
"4223","Mgat4a","NeuN vs pSyn",0.170434871131279,0.189311078411523,0.263344972047438,"Mgat4a","NS or FC < 0.5",0.722823970546438
