"","Feature","Comparison","Estimate","P","FDR","Gene","Color","invert_P"
"1558","STRBP","NeuN vs pSyn",-0.668420509052007,9.01057565801491e-05,0.00185406605824369,"STRBP","Enriched in NeuN FDR < 0.01",-4.04524746239351
"1559","PET100","NeuN vs pSyn",-0.228236581412164,0.0807023298033996,0.172495213379483,"PET100","NS or FC < 0.5",-1.09311392740736
"1560","ZMYM3","NeuN vs pSyn",-0.348694899732583,0.168047030329519,0.288497506559719,"ZMYM3","NS or FC < 0.5",-0.774569157832401
"1561","DRP2","NeuN vs pSyn",-0.155630490373675,0.404166585413327,0.531453417083018,"DRP2","NS or FC < 0.5",-0.393439594755582
"1562","ELAVL2","NeuN vs pSyn",0.113907732165959,0.637847240352375,0.7384741034151,"ELAVL2","NS or FC < 0.5",0.195283319109048
"1563","UBAP1","NeuN vs pSyn",-0.116788762644873,0.554092214794014,0.668976092786161,"UBAP1","NS or FC < 0.5",-0.256417951799585
"1564","MCFD2","NeuN vs pSyn",0.418121681675756,0.149723223932716,0.266453434522095,"MCFD2","NS or FC < 0.5",0.824710829960541
"1565","ZEB2","NeuN vs pSyn",0.0208314610084732,0.925065796813356,0.95116448516338,"ZEB2","NS or FC < 0.5",0.0338273762591139
"1566","GCAT","NeuN vs pSyn",0.631912871122106,0.0073471447250856,0.0369981216513239,"GCAT","Enriched in pSyn FDR < 0.05",2.13388140527785
"1567","TENT4A","NeuN vs pSyn",0.260342342192386,0.0737200876754861,0.162248330116903,"TENT4A","NS or FC < 0.5",1.13241415694513
"1568","RNF166","NeuN vs pSyn",0.52721410106852,0.00149164230484983,0.0134060767649043,"RNF166","Enriched in pSyn FDR < 0.05",2.82633530799892
"1569","NUDT16","NeuN vs pSyn",0.646347173997703,0.00131738601604853,0.0122568715063382,"NUDT16","Enriched in pSyn FDR < 0.05",2.88028695087264
"1570","KXD1","NeuN vs pSyn",0.77574435196713,0.0215221586781801,0.0727641850593659,"KXD1","Enriched in pSyn P < 0.05",1.66711417097013
"1571","CDHR1","NeuN vs pSyn",0.717855172006076,0.0120567640851825,0.0506101649080795,"CDHR1","Enriched in pSyn P < 0.05",1.91876923684942
"1572","TBP","NeuN vs pSyn",0.309774942155661,0.0415842895703143,0.111316761528362,"TBP","NS or FC < 0.5",1.38107071364261
"1573","ZNF540","NeuN vs pSyn",-0.754768878087924,0.0223718173885194,0.0746103146020376,"ZNF540","Enriched in NeuN P < 0.05",-1.65029873428756
"1574","PLS3","NeuN vs pSyn",0.530119175046503,0.012041510495368,0.0505708162942676,"PLS3","Enriched in pSyn P < 0.05",1.91931903146216
"1575","KLHL7","NeuN vs pSyn",0.130593790451641,0.330149819936774,0.462093728394287,"KLHL7","NS or FC < 0.5",0.481288935254478
"1576","GOLGA3","NeuN vs pSyn",-0.170801787245151,0.28391733637076,0.415725742275265,"GOLGA3","NS or FC < 0.5",-0.546808088064898
"1577","TECPR2","NeuN vs pSyn",0.210475640099375,0.303237676352048,0.435126335386047,"TECPR2","NS or FC < 0.5",0.518216839929011
"1578","ZFP62","NeuN vs pSyn",0.389712390348251,0.0426434320006865,0.112715475918225,"ZFP62","NS or FC < 0.5",1.37014784997164
"1579","ZFYVE28","NeuN vs pSyn",-0.486744579646426,7.07818993524819e-06,0.000315437884109169,"ZFYVE28","NS or FC < 0.5",-5.15007778773927
"1580","RAB40C","NeuN vs pSyn",-0.563405856047659,0.00085925854566386,0.00921130026993736,"RAB40C","Enriched in NeuN FDR < 0.01",-3.06587613993999
"1581","TSFM","NeuN vs pSyn",0.0176985005079552,0.916303230625826,0.94577272130238,"TSFM","NS or FC < 0.5",0.0379607822328745
"1582","SLC38A6","NeuN vs pSyn",-0.12173281479835,0.377630998339211,0.506156181504684,"SLC38A6","NS or FC < 0.5",-0.422932363274624
"1583","YTHDF2","NeuN vs pSyn",-0.122012946600738,0.651414314782709,0.748839150153178,"YTHDF2","NS or FC < 0.5",-0.186142702076285
"1584","KIF21A","NeuN vs pSyn",-0.651143375564074,0.000312712261673699,0.0044020264527913,"KIF21A","Enriched in NeuN FDR < 0.01",-3.50485508942281
"1585","ARHGEF9","NeuN vs pSyn",-0.224831532215328,0.293241072202281,0.425179781188775,"ARHGEF9","NS or FC < 0.5",-0.532775201215185
"1586","NEBL","NeuN vs pSyn",0.370338773466968,0.0742486950322392,0.16286993776391,"NEBL","NS or FC < 0.5",1.12931117494379
