,sample_id,bayesSpace_harmony_9,All,layer of top network-expressing spots per sample (%)
128,Br6423_mid,SpD2 ~ L1,1,3.5714285714285716
129,Br6423_mid,SpD7 ~ L6,1,3.5714285714285716
130,Br6522_mid,SpD2 ~ L1,1,0.2570694087403599
131,Br6423_post,SpD6 ~ WM,1,0.27100271002710025
132,Br8492_post,SpD7 ~ L6,1,100.0
133,Br8492_mid,SpD8 ~ L4,1,33.333333333333336
134,Br8492_mid,SpD7 ~ L6,1,33.333333333333336
135,Br8492_mid,SpD5 ~ L3,1,33.333333333333336
136,Br6522_mid,SpD1 ~ L1,1,0.2570694087403599
137,Br8492_ant,SpD7 ~ L6,1,14.285714285714286
138,Br8325_mid,SpD7 ~ L6,1,100.0
139,Br8325_ant,SpD9 ~ WM,1,2.7777777777777777
140,Br6522_post,SpD6 ~ WM,1,0.8403361344537815
141,Br6471_ant,SpD5 ~ L3,1,3.125
142,Br6471_ant,SpD9 ~ WM,1,3.125
143,Br6471_mid,SpD9 ~ WM,1,1.639344262295082
144,Br6471_post,SpD3 ~ L2,1,3.8461538461538463
145,Br6471_post,SpD5 ~ L3,1,3.8461538461538463
146,Br2720_mid,SpD4 ~ L5,1,9.090909090909092
