,Astro,EndoMural,Excit_L2_3,Excit_L3,Excit_L3_4_5,Excit_L4,Excit_L5,Excit_L5_6,Excit_L6,Inhib,Micro,OPC,Oligo
Astro,0.0,0.06310143555765894,0.013146132407845611,0.052584529631382444,0.01051690592627649,0.7072619235420939,0.9070831361413472,0.005258452963138245,0.013146132407845611,0.06835988852079718,0.015775358889414736,0.005258452963138245,0.052584529631382444
EndoMural,0.06310143555765894,0.0,0.013146132407845611,0.07887679444707367,0.015775358889414736,1.1542304254088447,1.4434453383814483,0.0,0.02103381185255298,0.08939370037335016,0.03417994426039859,0.013146132407845611,0.13409055056002525
Excit_L2_3,0.013146132407845611,0.013146132407845611,0.0,0.0,0.0,0.0,0.007887679444707368,0.0,0.0,0.007887679444707368,0.0026292264815691224,0.0,0.0026292264815691224
Excit_L3,0.052584529631382444,0.07887679444707367,0.0,0.0,0.01051690592627649,5.016564126833885,5.397801966661408,0.07361834148393542,0.018404585370983856,0.17352894778356207,0.013146132407845611,0.005258452963138245,0.0026292264815691224
Excit_L3_4_5,0.01051690592627649,0.015775358889414736,0.0,0.01051690592627649,0.0,4.992901088499764,4.998159541462901,0.0,0.0026292264815691224,0.007887679444707368,0.007887679444707368,0.0026292264815691224,0.03155071777882947
Excit_L4,0.7072619235420939,1.1542304254088447,0.0,5.016564126833885,4.992901088499764,0.0,15.446705579218595,0.4022716516800757,0.41541778408792135,1.8851553872850608,0.20245043908082241,0.13671977704159435,0.7703633590997528
Excit_L5,0.9070831361413472,1.4434453383814483,0.007887679444707368,5.397801966661408,4.998159541462901,15.446705579218595,0.0,0.49692380501656414,0.5048114844612716,2.255876321186307,0.26555187463848134,0.1656412683388547,1.0332860072566652
Excit_L5_6,0.005258452963138245,0.0,0.0,0.07361834148393542,0.0,0.4022716516800757,0.49692380501656414,0.0,0.01051690592627649,0.0026292264815691224,0.0,0.0,0.0026292264815691224
Excit_L6,0.013146132407845611,0.02103381185255298,0.0,0.018404585370983856,0.0026292264815691224,0.41541778408792135,0.5048114844612716,0.01051690592627649,0.0,0.007887679444707368,0.0026292264815691224,0.0026292264815691224,0.06310143555765894
Inhib,0.06835988852079718,0.08939370037335016,0.007887679444707368,0.17352894778356207,0.007887679444707368,1.8851553872850608,2.255876321186307,0.0026292264815691224,0.007887679444707368,0.0,0.018404585370983856,0.013146132407845611,0.060472209076089814
Micro,0.015775358889414736,0.03417994426039859,0.0026292264815691224,0.013146132407845611,0.007887679444707368,0.20245043908082241,0.26555187463848134,0.0,0.0026292264815691224,0.018404585370983856,0.0,0.007887679444707368,0.09202292685491928
OPC,0.005258452963138245,0.013146132407845611,0.0,0.005258452963138245,0.0026292264815691224,0.13671977704159435,0.1656412683388547,0.0,0.0026292264815691224,0.013146132407845611,0.007887679444707368,0.0,0.047326076668244205
Oligo,0.052584529631382444,0.13409055056002525,0.0026292264815691224,0.0026292264815691224,0.03155071777882947,0.7703633590997528,1.0332860072566652,0.0026292264815691224,0.06310143555765894,0.060472209076089814,0.09202292685491928,0.047326076668244205,0.0
