,Astro,EndoMural,Excit_L2_3,Excit_L3,Excit_L3_4_5,Excit_L4,Excit_L5,Excit_L5_6,Excit_L6,Inhib,Micro,OPC,Oligo
Astro,0.0,0.1121873802878564,0.019153942975975485,0.08482460460789142,0.03557160838395447,0.8373009358069283,1.089038472062606,0.008208832703989493,0.008208832703989493,0.09029715974388441,0.02189022054397198,0.008208832703989493,0.10397854758386692
EndoMural,0.1121873802878564,0.0,0.019153942975975485,0.1012422700158704,0.057461828927926444,1.2668965139823785,1.677338149181853,0.0027362775679964976,0.03557160838395447,0.12313249055984239,0.057461828927926444,0.03283533081595797,0.2243747605757128
Excit_L2_3,0.019153942975975485,0.019153942975975485,0.0,0.0,0.0,0.0,0.01094511027198599,0.0,0.0,0.01094511027198599,0.0027362775679964976,0.0,0.0027362775679964976
Excit_L3,0.08482460460789142,0.1012422700158704,0.0,0.0,0.04378044108794396,4.399934329338368,4.761122968313906,0.06293438406391944,0.01368138783998249,0.17785804191977234,0.01368138783998249,0.005472555135992995,0.005472555135992995
Excit_L3_4_5,0.03557160838395447,0.057461828927926444,0.0,0.04378044108794396,0.0,4.971816341049636,4.930772177529689,0.0,0.0,0.02189022054397198,0.019153942975975485,0.0027362775679964976,0.07387949433590543
Excit_L4,0.8373009358069283,1.2668965139823785,0.0,4.399934329338368,4.971816341049636,0.0,14.942811798828872,0.38034258195151316,0.4022328024954851,1.9208668527335413,0.2271110381437093,0.15049526623980736,0.9002353198708476
Excit_L5,1.089038472062606,1.677338149181853,0.01094511027198599,4.761122968313906,4.930772177529689,14.942811798828872,0.0,0.4651671865594046,0.4870574071033766,2.3477261533409948,0.29004542220762874,0.2161659278717233,1.2285886280304275
Excit_L5_6,0.008208832703989493,0.0027362775679964976,0.0,0.06293438406391944,0.0,0.38034258195151316,0.4651671865594046,0.0,0.008208832703989493,0.0,0.0,0.0,0.0027362775679964976
Excit_L6,0.008208832703989493,0.03557160838395447,0.0,0.01368138783998249,0.0,0.4022328024954851,0.4870574071033766,0.008208832703989493,0.0,0.01094511027198599,0.005472555135992995,0.0027362775679964976,0.07114321676790894
Inhib,0.09029715974388441,0.12313249055984239,0.01094511027198599,0.17785804191977234,0.02189022054397198,1.9208668527335413,2.3477261533409948,0.0,0.01094511027198599,0.0,0.03830788595195097,0.019153942975975485,0.09303343731188092
Micro,0.02189022054397198,0.057461828927926444,0.0027362775679964976,0.01368138783998249,0.019153942975975485,0.2271110381437093,0.29004542220762874,0.0,0.005472555135992995,0.03830788595195097,0.0,0.01368138783998249,0.13134132326383188
OPC,0.008208832703989493,0.03283533081595797,0.0,0.005472555135992995,0.0027362775679964976,0.15049526623980736,0.2161659278717233,0.0,0.0027362775679964976,0.019153942975975485,0.01368138783998249,0.0,0.09576971487987741
Oligo,0.10397854758386692,0.2243747605757128,0.0027362775679964976,0.005472555135992995,0.07387949433590543,0.9002353198708476,1.2285886280304275,0.0027362775679964976,0.07114321676790894,0.09303343731188092,0.13134132326383188,0.09576971487987741,0.0
