,Astro,EndoMural,Excit_L2_3,Excit_L3,Excit_L3_4_5,Excit_L4,Excit_L5,Excit_L5_6,Excit_L6,Inhib,Micro,OPC,Oligo
Astro,0.0,24.0,5.0,20.0,4.0,269.0,345.0,2.0,5.0,26.0,6.0,2.0,20.0
EndoMural,24.0,0.0,5.0,30.0,6.0,439.0,549.0,0.0,8.0,34.0,13.0,5.0,51.0
Excit_L2_3,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,1.0
Excit_L3,20.0,30.0,0.0,0.0,4.0,1908.0,2053.0,28.0,7.0,66.0,5.0,2.0,1.0
Excit_L3_4_5,4.0,6.0,0.0,4.0,0.0,1899.0,1901.0,0.0,1.0,3.0,3.0,1.0,12.0
Excit_L4,269.0,439.0,0.0,1908.0,1899.0,0.0,5875.0,153.0,158.0,717.0,77.0,52.0,293.0
Excit_L5,345.0,549.0,3.0,2053.0,1901.0,5875.0,0.0,189.0,192.0,858.0,101.0,63.0,393.0
Excit_L5_6,2.0,0.0,0.0,28.0,0.0,153.0,189.0,0.0,4.0,1.0,0.0,0.0,1.0
Excit_L6,5.0,8.0,0.0,7.0,1.0,158.0,192.0,4.0,0.0,3.0,1.0,1.0,24.0
Inhib,26.0,34.0,3.0,66.0,3.0,717.0,858.0,1.0,3.0,0.0,7.0,5.0,23.0
Micro,6.0,13.0,1.0,5.0,3.0,77.0,101.0,0.0,1.0,7.0,0.0,3.0,35.0
OPC,2.0,5.0,0.0,2.0,1.0,52.0,63.0,0.0,1.0,5.0,3.0,0.0,18.0
Oligo,20.0,51.0,1.0,1.0,12.0,293.0,393.0,1.0,24.0,23.0,35.0,18.0,0.0
