source,Astro,EndoMural,Excit_L2/3,Excit_L3,Excit_L3/4/5,Excit_L4,Excit_L5,Excit_L5/6,Excit_L6,Inhib,Micro,OPC,Oligo
Astro,44,45,20,25,15,24,21,24,30,23,13,34,15
EndoMural,36,44,10,18,11,11,9,11,14,22,28,36,12
Excit_L2/3,17,20,3,5,0,3,7,7,8,6,1,12,4
Excit_L3,28,34,16,22,4,17,24,25,21,23,16,35,22
Excit_L3/4/5,28,21,8,10,2,14,10,13,12,9,9,24,9
Excit_L4,33,23,18,26,6,18,18,30,23,17,9,27,13
Excit_L5,18,19,0,2,0,2,1,2,3,5,8,14,7
Excit_L5/6,17,23,5,5,0,3,6,6,11,8,12,21,10
Excit_L6,17,17,3,3,0,2,5,6,6,5,9,12,4
Inhib,42,39,17,31,15,25,22,31,30,45,9,43,22
Micro,20,17,5,8,7,8,5,5,5,4,15,12,4
OPC,41,46,24,37,20,32,27,33,35,28,14,37,20
Oligo,27,27,9,9,6,8,7,11,9,7,9,22,7
