source,Astro,EndoMural,Excit_L2/3,Excit_L3,Excit_L3/4/5,Excit_L4,Excit_L5,Excit_L5/6,Excit_L6,Inhib,Micro,OPC,Oligo
Astro,25,24,10,12,7,10,9,11,13,13,7,17,7
EndoMural,23,21,5,8,3,3,4,5,4,8,17,16,5
Excit_L2/3,7,10,0,0,0,0,1,0,0,0,1,3,1
Excit_L3,9,18,4,9,2,8,9,9,4,5,6,12,7
Excit_L3/4/5,9,10,0,1,0,3,1,2,0,1,6,7,2
Excit_L4,10,10,5,10,2,7,5,11,3,1,4,8,2
Excit_L5,8,12,0,0,0,1,1,1,0,1,2,5,3
Excit_L5/6,8,12,0,0,0,1,1,0,2,1,5,6,5
Excit_L6,9,8,0,0,0,0,1,0,0,0,1,2,1
Inhib,18,19,6,11,6,9,7,11,6,18,5,12,5
Micro,10,10,1,2,3,3,0,1,0,0,7,5,1
OPC,14,16,6,8,4,7,6,7,7,4,4,8,7
Oligo,14,16,1,2,1,3,1,2,1,1,4,10,4
