,CellType,annotLevel,p,fold_change,sd_from_mean,q
Vascular_cells,Vascular_cells,1,0,1.95520687551087,13.1599364467901,0
Microglia,Microglia,1,0,1.74539184677228,10.8568033245394,0
OPC,OPC,1,0,1.36316013459563,6.70564288375701,0
GABAergic_VIP,GABAergic_VIP,1,0,1.27393001266448,6.19651226024901,0
Astrocyte,Astrocyte,1,0,1.32468211732358,5.65299695017057,0
GABAergic_SST,GABAergic_SST,1,0,1.19273059111666,4.69790047162822,0
Glutamatergic_L6_CT,Glutamatergic_L6_CT,1,2e-04,1.16001716330339,4.15870568642618,0.000485714285714286
GABAergic_LAMP5,GABAergic_LAMP5,1,3e-04,1.15325232714675,3.71184724790521,0.0006375
Glutamatergic_L6b,Glutamatergic_L6b,1,4e-04,1.17108414147074,3.840014302507,0.000755555555555556
Glutamatergic_L5_6_NP,Glutamatergic_L5_6_NP,1,0.002,1.14742286634984,3.16394526020567,0.0034
GABAergic_PAX6,GABAergic_PAX6,1,0.0025,1.13557334724967,2.98392519848119,0.00386363636363636
Glutamatergic_L4_IT,Glutamatergic_L4_IT,1,0.0035,1.11889454806917,2.82169025048662,0.00495833333333333
GABAergic_PVALB,GABAergic_PVALB,1,0.0873,1.05702717005022,1.37860501535447,0.114161538461538
Glutamatergic_L5_6_IT_Car3,Glutamatergic_L5_6_IT_Car3,1,0.1626,1.04377548566975,0.968617241496739,0.197442857142857
Glutamatergic_IT,Glutamatergic_IT,1,0.2446,1.02577017430981,0.666132423498819,0.2637125
Glutamatergic_L5_ET,Glutamatergic_L5_ET,1,0.2482,1.03387189514971,0.664746575459087,0.2637125
Oligodendrocyte,Oligodendrocyte,1,0.499,0.998958141986707,-0.0167623619841778,0.499
