,CellType,annotLevel,p,fold_change,sd_from_mean,q
Astro_L1_FGFR3_MT1G,Astro_L1_FGFR3_MT1G,2,1e-04,2.43587264875511,5.51312202498371,0.006
Endo_L2_5_CLDN5,Endo_L2_5_CLDN5,2,1e-04,2.74221356864969,4.73553921460492,0.006
Micro_L1_6_C1QC,Micro_L1_6_C1QC,2,7e-04,2.52100378413895,4.14480842771914,0.0264
Astro_L1_6_FGFR3_ETNPPL,Astro_L1_6_FGFR3_ETNPPL,2,0.001,2.05944485456136,4.54245072990704,0.0264
Astro_L1_FGFR3_FOS,Astro_L1_FGFR3_FOS,2,0.0011,2.19083549277683,4.22263171071838,0.0264
Oligo_L4_6_MOBP_COL18A1,Oligo_L4_6_MOBP_COL18A1,2,0.0015,2.03312421923204,3.97750521137905,0.03
Exc_L6_FEZF2_P4HA3,Exc_L6_FEZF2_P4HA3,2,0.0031,2.35773488752088,4.91868469537121,0.0525
Inh_L3_VIP_CBLN1,Inh_L3_VIP_CBLN1,2,0.0035,2.01995048615013,5.40347164339812,0.0525
OPC_L1_6_MYT1,OPC_L1_6_MYT1,2,0.0094,1.95317176136404,3.36914305762292,0.114
Inh_L2_4_VIP_DSEL,Inh_L2_4_VIP_DSEL,2,0.0095,1.87283629684633,4.07303987281714,0.114
Peri_L1_6_MUSTN1,Peri_L1_6_MUSTN1,2,0.0117,2.09198582783954,2.84273821396538,0.117176470588235
VLMC_L1_3_CYP1B1,VLMC_L1_3_CYP1B1,2,0.0154,2.0272439353425,2.64347522399543,0.117176470588235
Inh_L1_4_VIP_CHRNA2,Inh_L1_4_VIP_CHRNA2,2,0.0157,1.68530685290029,3.23475628160455,0.117176470588235
Exc_L5_FEZF2_DYRK2,Exc_L5_FEZF2_DYRK2,2,0.0158,1.53237489369378,2.77621640040808,0.117176470588235
Inh_L1_PAX6_CA4,Inh_L1_PAX6_CA4,2,0.0158,1.33344277687253,2.61154571189867,0.117176470588235
Inh_L1_LAMP5_NDNF,Inh_L1_LAMP5_NDNF,2,0.0159,1.34293785636031,2.70777370806446,0.117176470588235
Oligo_L4_6_OPALIN,Oligo_L4_6_OPALIN,2,0.0166,1.75534859203003,2.63492701636638,0.117176470588235
Exc_L5_6_THEMIS_THTPA,Exc_L5_6_THEMIS_THTPA,2,0.0177,1.58565982730989,2.98710113313075,0.118
Inh_L5_6_LAMP5_SFTA3,Inh_L5_6_LAMP5_SFTA3,2,0.0207,1.38983412620424,2.7092827571528,0.130736842105263
Exc_L5_6_THEMIS_IL7R,Exc_L5_6_THEMIS_IL7R,2,0.0234,1.55858916828663,3.06183383366541,0.1404
Inh_L1_VIP_PRSS8,Inh_L1_VIP_PRSS8,2,0.0264,1.33136764203987,2.22662303010495,0.150857142857143
Inh_L1_6_LAMP5_CA13,Inh_L1_6_LAMP5_CA13,2,0.0298,1.36345177045567,2.45454148328662,0.162260869565217
Inh_L1_4_LAMP5_DUSP4,Inh_L1_4_LAMP5_DUSP4,2,0.0311,1.2482586788716,2.12405327848195,0.162260869565217
Inh_L1_ADARB2_ADAM33,Inh_L1_ADARB2_ADAM33,2,0.0332,1.27650283848439,2.124788550453,0.166
Exc_L6_FEZF2_ETV4,Exc_L6_FEZF2_ETV4,2,0.0429,1.25695042255673,1.92583378781747,0.197333333333333
Inh_L4_6_SST_MTHFD2P6,Inh_L4_6_SST_MTHFD2P6,2,0.0442,1.19079252805787,1.81355856055429,0.197333333333333
Inh_L1_6_VIP_RGS16,Inh_L1_6_VIP_RGS16,2,0.0444,1.26052058933708,1.84231397500839,0.197333333333333
Exc_L5_6_FEZF2_CABP7,Exc_L5_6_FEZF2_CABP7,2,0.0529,1.42467247171897,1.51367258249585,0.226714285714286
Exc_L5_6_FEZF2_MYBPHL,Exc_L5_6_FEZF2_MYBPHL,2,0.0583,1.27759332100512,1.65616627599862,0.241241379310345
Exc_L5_6_FEZF2_CYP26B1,Exc_L5_6_FEZF2_CYP26B1,2,0.062,1.35374189033788,1.64447745121038,0.248
Inh_L3_5_SST_MAFB,Inh_L3_5_SST_MAFB,2,0.0718,1.1627586245828,1.52024501745075,0.268588235294118
Inh_L6_SST_NPY,Inh_L6_SST_NPY,2,0.0736,1.38561424846418,1.51385736348463,0.268588235294118
Exc_L6_THEMIS_C6orf48,Exc_L6_THEMIS_C6orf48,2,0.0756,1.25296697776989,0.99640137960031,0.268588235294118
Exc_L5_6_FEZF2_RSAD2,Exc_L5_6_FEZF2_RSAD2,2,0.0761,1.27889095971706,1.2638547973342,0.268588235294118
Exc_L3_4_RORB_RPS3P6,Exc_L3_4_RORB_RPS3P6,2,0.0799,1.19256528010294,0.919496061982469,0.273942857142857
Inh_L1_LAMP5_GGT8P,Inh_L1_LAMP5_GGT8P,2,0.0836,1.27792369927465,1.29285354152253,0.278666666666667
Inh_L3_6_VIP_KCTD13,Inh_L3_6_VIP_KCTD13,2,0.0874,1.19233628613639,1.02956657447394,0.283459459459459
Inh_L5_6_SST_ISOC1,Inh_L5_6_SST_ISOC1,2,0.0916,1.21163333880242,1.14183303370987,0.286461538461538
Inh_L3_6_PVALB_MFI2,Inh_L3_6_PVALB_MFI2,2,0.0931,1.22984949687362,0.902450219016922,0.286461538461538
Inh_L1_VIP_TNFAIP8L3,Inh_L1_VIP_TNFAIP8L3,2,0.0966,1.24592248388417,0.976414824701499,0.2898
Inh_L5_6_SST_KLHL14,Inh_L5_6_SST_KLHL14,2,0.1102,1.24018057010593,0.980291683852863,0.321428571428571
Exc_L3_5_FEZF2_ONECUT1,Exc_L3_5_FEZF2_ONECUT1,2,0.1125,1.23308231682059,0.876287030827822,0.321428571428571
Exc_L3_THEMIS_PLA2G7,Exc_L3_THEMIS_PLA2G7,2,0.1273,1.23696939503898,0.960531634488026,0.347733333333333
Inh_L1_3_PAX6_NABP1,Inh_L1_3_PAX6_NABP1,2,0.1295,1.17190860247517,0.971774589747577,0.347733333333333
Inh_L1_SST_CXCL14,Inh_L1_SST_CXCL14,2,0.1304,1.12981448101448,0.996495361971602,0.347733333333333
Inh_L2_4_SST_AHR,Inh_L2_4_SST_AHR,2,0.1346,1.14217036426568,0.954426965011606,0.351130434782609
Exc_L6_FEZF2_VWA2,Exc_L6_FEZF2_VWA2,2,0.1432,1.12088226683018,0.734727667024102,0.35136
Inh_L2_5_VIP_TOX2,Inh_L2_5_VIP_TOX2,2,0.1437,1.12741892596933,0.984702681227879,0.35136
Inh_L1_PAX6_GRIP2,Inh_L1_PAX6_GRIP2,2,0.145,1.16604941473203,0.706103986005516,0.35136
Inh_L1_3_VIP_GGH,Inh_L1_3_VIP_GGH,2,0.1464,1.14761372517338,0.643526235976317,0.35136
Inh_L1_6_PVALB_SCUBE3,Inh_L1_6_PVALB_SCUBE3,2,0.1533,1.14290533485024,0.762196199695248,0.360230769230769
Inh_L1_3_VIP_SSTR1,Inh_L1_3_VIP_SSTR1,2,0.1561,1.11297071469167,0.586972930574259,0.360230769230769
Exc_L5_6_THEMIS_GPR21,Exc_L5_6_THEMIS_GPR21,2,0.1624,1.11675037305339,0.952961807425007,0.367698113207547
Exc_L6_FEZF2_KRT17,Exc_L6_FEZF2_KRT17,2,0.1683,1.10977027493966,0.810281635559257,0.374
Exc_L4_RORB_BHLHE22,Exc_L4_RORB_BHLHE22,2,0.1775,1.1019097690066,0.774704810169535,0.382071428571429
Exc_L4_5_RORB_LINC01474,Exc_L4_5_RORB_LINC01474,2,0.1783,1.08701858359705,0.797995818286045,0.382071428571429
Inh_L5_PVALB_CNTNAP3P2,Inh_L5_PVALB_CNTNAP3P2,2,0.1853,1.08382724287914,0.800227397775947,0.390105263157895
Exc_L4_RORB_CACNG5,Exc_L4_RORB_CACNG5,2,0.1944,1.09593006379269,0.501114961105628,0.393375
Inh_L1_5_VIP_KCNJ2,Inh_L1_5_VIP_KCNJ2,2,0.2016,1.07336323163496,0.339033539033482,0.393375
Inh_L1_2_PAX6_SCGN,Inh_L1_2_PAX6_SCGN,2,0.2059,1.10013657861394,0.410122410618566,0.393375
Inh_L1_VIP_PCDH20,Inh_L1_VIP_PCDH20,2,0.2065,1.10452589944379,0.586327267465122,0.393375
Inh_L2_6_VIP_VIP,Inh_L2_6_VIP_VIP,2,0.2071,1.08857113910481,0.601224500824889,0.393375
Inh_L1_6_VIP_RCN1,Inh_L1_6_VIP_RCN1,2,0.2091,1.09913002306805,0.448575254129141,0.393375
Exc_L4_RORB_CCDC168,Exc_L4_RORB_CCDC168,2,0.2098,1.09158002198899,0.675162506688264,0.393375
Exc_L5_6_RORB_LINC00320,Exc_L5_6_RORB_LINC00320,2,0.2251,1.07237788738995,0.476897986992706,0.415569230769231
Inh_L6_LAMP5_C1QL2,Inh_L6_LAMP5_C1QL2,2,0.2445,1.08090466467437,0.448558400261129,0.444545454545455
Inh_L1_VIP_SOX11,Inh_L1_VIP_SOX11,2,0.2515,1.07423540467288,0.292571006838822,0.45044776119403
Exc_L5_FEZF2_MORN2,Exc_L5_FEZF2_MORN2,2,0.3005,1.03393202153154,0.140405028686385,0.530294117647059
Exc_L5_6_THEMIS_OR1J1,Exc_L5_6_THEMIS_OR1J1,2,0.3129,1.00842543986931,0.0316404019316434,0.544173913043478
Exc_L3_LINC00507_CTXN3,Exc_L3_LINC00507_CTXN3,2,0.3747,1.02086892844652,0.153201074615807,0.624631578947368
Inh_L1_6_VIP_PENK,Inh_L1_6_VIP_PENK,2,0.3798,0.996927652929768,-0.0136044817169427,0.624631578947368
Exc_L3_5_FEZF2_DCN,Exc_L3_5_FEZF2_DCN,2,0.3879,0.964967150408816,-0.108566161761542,0.624631578947368
Inh_L5_6_PVALB_STON2,Inh_L5_6_PVALB_STON2,2,0.3913,1.01632131441472,0.134713700162322,0.624631578947368
Inh_L3_4_PVALB_HOMER3,Inh_L3_4_PVALB_HOMER3,2,0.3918,1.01648518218229,0.125461825427857,0.624631578947368
Exc_L6_FEZF2_TBC1D26,Exc_L6_FEZF2_TBC1D26,2,0.3934,1.00162678319006,0.00794297324401032,0.624631578947368
Inh_L1_3_VIP_ZNF322P1,Inh_L1_3_VIP_ZNF322P1,2,0.3956,1.01297706132538,0.0988608398944222,0.624631578947368
Inh_L1_2_VIP_PPAPDC1A,Inh_L1_2_VIP_PPAPDC1A,2,0.4136,0.990484277190625,-0.0403616978944762,0.644571428571429
Exc_L3_4_RORB_FOLH1B,Exc_L3_4_RORB_FOLH1B,2,0.4231,1.00734803872086,0.0641477188842834,0.650923076923077
Inh_L6_LHX6_GLP1R,Inh_L6_LHX6_GLP1R,2,0.4289,0.983137605619509,-0.079970511587586,0.651259259259259
Inh_L2_4_PVALB_C8orf4,Inh_L2_4_PVALB_C8orf4,2,0.4381,1.01044920628454,0.111149052591875,0.651259259259259
Exc_L3_5_THEMIS_ELOF1,Exc_L3_5_THEMIS_ELOF1,2,0.4396,0.997190092018644,-0.019295306719847,0.651259259259259
Inh_L1_3_VIP_ACHE,Inh_L1_3_VIP_ACHE,2,0.4501,0.992697095204791,-0.0465699556259389,0.657317647058824
Inh_L1_3_PVALB_WFDC2,Inh_L1_3_PVALB_WFDC2,2,0.459,0.958899969222541,-0.164972307680553,0.657317647058824
Inh_L6_LAMP5_ANKRD20A11P,Inh_L6_LAMP5_ANKRD20A11P,2,0.4618,0.971278716587055,-0.106500454979986,0.657317647058824
Exc_L6_THEMIS_EGR3,Exc_L6_THEMIS_EGR3,2,0.4656,1.00080040986582,0.00758532538693071,0.657317647058824
Exc_L6_FEZF2_TBCC,Exc_L6_FEZF2_TBCC,2,0.4921,0.962454647201934,-0.177256454404005,0.677727272727273
Exc_L6_FEZF2_SLITRK6,Exc_L6_FEZF2_SLITRK6,2,0.4949,0.965349522779301,-0.186174995464489,0.677727272727273
Inh_L5_6_PVALB_FAM150B,Inh_L5_6_PVALB_FAM150B,2,0.497,0.980288077351381,-0.134240281605404,0.677727272727273
Exc_L5_FEZF2_SCN7A,Exc_L5_FEZF2_SCN7A,2,0.5041,0.940642511165652,-0.227860828630798,0.678133333333333
Inh_L2_4_VIP_LGI2,Inh_L2_4_VIP_LGI2,2,0.5086,0.961452788350688,-0.200369429360886,0.678133333333333
Inh_L4_5_PVALB_TRIM67,Inh_L4_5_PVALB_TRIM67,2,0.516,0.954369375280022,-0.203295870786606,0.68043956043956
Exc_L5_6_THEMIS_TMEM233,Exc_L5_6_THEMIS_TMEM233,2,0.5232,0.986448617618487,-0.129191434448568,0.682434782608696
Exc_L2_4_RORB_GRIK1,Exc_L2_4_RORB_GRIK1,2,0.5332,0.988316886983778,-0.1329062987091,0.685021276595745
Inh_L1_2_PVALB_TAC1,Inh_L1_2_PVALB_TAC1,2,0.5366,0.935858521771257,-0.259869139483835,0.685021276595745
Exc_L2_3_LINC00507_RPL9P17,Exc_L2_3_LINC00507_RPL9P17,2,0.5502,0.974419722029403,-0.228439120623389,0.69498947368421
Exc_L4_5_RORB_AIM2,Exc_L4_5_RORB_AIM2,2,0.5716,0.927172516826865,-0.30742750024385,0.71292
Exc_L6_THEMIS_LINC00343,Exc_L6_THEMIS_LINC00343,2,0.5828,0.976509300764798,-0.257098311654007,0.71292
Inh_L1_ADARB2_DISP2,Inh_L1_ADARB2_DISP2,2,0.5858,0.903499282048908,-0.372185774435658,0.71292
Exc_L5_RORB_LINC01202,Exc_L5_RORB_LINC01202,2,0.5935,0.95604896079951,-0.318319461865051,0.71292
Exc_L6_FEZF2_CPZ,Exc_L6_FEZF2_CPZ,2,0.5941,0.95507285391919,-0.285422948308444,0.71292
Exc_L3_4_RORB_PRSS12,Exc_L3_4_RORB_PRSS12,2,0.6149,0.965413556933549,-0.347932752809026,0.730574257425743
Exc_L4_5_RORB_ASCL1,Exc_L4_5_RORB_ASCL1,2,0.6398,0.901194689624835,-0.453433886044884,0.752705882352941
Inh_L1_2_VIP_RPL41P3,Inh_L1_2_VIP_RPL41P3,2,0.655,0.912530360779345,-0.3844428775041,0.763106796116505
Exc_L5_6_FEZF2_ANKRD20A1,Exc_L5_6_FEZF2_ANKRD20A1,2,0.6906,0.936803770141956,-0.522096962247762,0.792
Inh_L5_6_SST_TH,Inh_L5_6_SST_TH,2,0.693,0.875363822228345,-0.502235021085446,0.792
Inh_L1_3_VIP_CCDC184,Inh_L1_3_VIP_CCDC184,2,0.7675,0.853609463607054,-0.683693693506371,0.864990825688073
Exc_L6_FEZF2_FAM95C,Exc_L6_FEZF2_FAM95C,2,0.7716,0.923843788734881,-0.748611114841436,0.864990825688073
Exc_L3_5_RORB_CMAHP,Exc_L3_5_RORB_CMAHP,2,0.7822,0.904091683779392,-0.76497323350771,0.864990825688073
Exc_L3_4_RORB_SEMA6D,Exc_L3_4_RORB_SEMA6D,2,0.7857,0.922303132187427,-0.799835852677153,0.864990825688073
Exc_L3_5_LINC00507_SLN,Exc_L3_5_LINC00507_SLN,2,0.826,0.828850747344259,-0.679994926349908,0.901090909090909
Exc_L3_RORB_CARTPT,Exc_L3_RORB_CARTPT,2,0.8342,0.891804696579648,-0.907963096557503,0.901837837837838
