,CellType,annotLevel,p,fold_change,sd_from_mean,q
Vascular_cells,Vascular_cells,1,0,1.8889890387372,14.8352363840216,0
Microglia,Microglia,1,0,1.79048675486442,13.8107913645428,0
GABAergic_VIP,GABAergic_VIP,1,0,1.28786848913574,7.76912423957699,0
Astrocyte,Astrocyte,1,0,1.27243913847399,5.64073285820091,0
OPC,OPC,1,0,1.25867825515534,5.61398493732004,0
GABAergic_SST,GABAergic_SST,1,0,1.1878343033967,5.51543529575313,0
Glutamatergic_L6b,Glutamatergic_L6b,1,0,1.18509876558398,4.97009232336441,0
GABAergic_LAMP5,GABAergic_LAMP5,1,0,1.15866739573158,4.63139346480367,0
Glutamatergic_L6_CT,Glutamatergic_L6_CT,1,2.66666666666667e-05,1.14502048465879,4.50664129797893,5.03703703703704e-05
Glutamatergic_L4_IT,Glutamatergic_L4_IT,1,5.33333333333333e-05,1.15064752244681,4.35342769890716,9.06666666666667e-05
Glutamatergic_L5_6_NP,Glutamatergic_L5_6_NP,1,0.000146666666666667,1.15546823846364,3.95116517394768,0.000226666666666667
GABAergic_PAX6,GABAergic_PAX6,1,0.00306666666666667,1.10723160539145,2.88425670556014,0.00434444444444445
Glutamatergic_L5_6_IT_Car3,Glutamatergic_L5_6_IT_Car3,1,0.0126133333333333,1.08890429625122,2.34235527140053,0.016494358974359
Glutamatergic_IT,Glutamatergic_IT,1,0.0352133333333333,1.05941718898691,1.85946394467401,0.0427590476190476
GABAergic_PVALB,GABAergic_PVALB,1,0.0984133333333333,1.04508281692464,1.30399791226567,0.111535111111111
Glutamatergic_L5_ET,Glutamatergic_L5_ET,1,0.154786666666667,1.04391502927056,1.01607781288294,0.164460833333333
Oligodendrocyte,Oligodendrocyte,1,0.20088,1.04339092877993,0.832437451982042,0.20088
