,CellType,annotLevel,p,fold_change,sd_from_mean,q
Vascular_cells,Vascular_cells,1,0,2.10547552115528,12.4935289100186,0
Microglia,Microglia,1,0,1.87649185837402,10.2899787415421,0
OPC,OPC,1,6e-05,1.32198644409562,4.72042956112547,0.00034
Astrocyte,Astrocyte,1,0.00014,1.28770580672493,4.0026250493803,0.000595
GABAergic_VIP,GABAergic_VIP,1,0.00084,1.1873754470216,3.46121457688613,0.002856
GABAergic_LAMP5,GABAergic_LAMP5,1,0.00216,1.15692701395339,3.12255211872564,0.00612
GABAergic_PAX6,GABAergic_PAX6,1,0.00762,1.14324774932537,2.61355856276282,0.0185057142857143
Glutamatergic_L5_6_IT_Car3,Glutamatergic_L5_6_IT_Car3,1,0.01628,1.12664452572138,2.27145017253921,0.034595
Glutamatergic_L4_IT,Glutamatergic_L4_IT,1,0.02822,1.10330662948061,2.01193035004117,0.0533044444444444
Glutamatergic_L5_6_NP,Glutamatergic_L5_6_NP,1,0.04058,1.1051155290377,1.83265887570908,0.068986
Glutamatergic_L6b,Glutamatergic_L6b,1,0.0546,1.08974269239254,1.6567472529793,0.0843818181818182
GABAergic_SST,GABAergic_SST,1,0.08216,1.0706405890542,1.42596629000133,0.116393333333333
Glutamatergic_L6_CT,Glutamatergic_L6_CT,1,0.37898,1.01319876400851,0.278334316376292,0.495589230769231
Glutamatergic_IT,Glutamatergic_IT,1,0.43828,1.00564756837686,0.121447245762205,0.531216
Glutamatergic_L5_ET,Glutamatergic_L5_ET,1,0.46872,1.00135933165101,0.021413880591527,0.531216
Oligodendrocyte,Oligodendrocyte,1,0.5186,0.993057000748882,-0.090017780683933,0.5510125
GABAergic_PVALB,GABAergic_PVALB,1,0.58298,0.987758622698216,-0.240945893599801,0.58298
