,0
FYN,0.026235228481732733
TGFB1,0.02036525947443742
IL2,0.010968954395851525
MAPK3,0.010491073822786013
MAPK1,0.009258940912401285
STAT3,0.00889272527605199
TYK2,0.008048038929551912
HGF,0.007519222443733808
TNFRSF1A,0.006836892579345329
FGFR3,0.006381017479702894
CXCR4,0.005729122509398901
CCR4,0.0050588457062352285
PDGFRB,0.005011051196605361
ERBB2,0.0049996433334867744
BMP2,0.004799042370119513
LAMB3,0.0047632685663090545
CXCR5,0.004711480173397682
CALCA,0.00469053069628874
TNF,0.004609917923705749
WNT4,0.004494557508726162
FGFR1,0.004287193600308413
LRP1,0.00423702825846617
GPR20,0.004124940117973627
ACVR2A,0.004096140473815489
JAK1,0.003940490662872423
ITGB5,0.003920785037410458
BMPR1B,0.003914618962436564
NGF,0.0038882492658015065
SNCA,0.003800410407744695
WNT7B,0.0037329251123007887
WNT3,0.0037272160999767367
NOS3,0.003722222006614765
IFNAR1,0.0037133842521962267
PDGFD,0.0036943440037477443
WNT9B,0.0036560205806675365
VEGFC,0.003605222300508258
DDR1,0.0035739215551015085
TLR4,0.0035588299459315687
NRP1,0.0034644457718154094
RELN,0.003437248503139231
IL6R,0.00341944071547192
BMP8A,0.0032824753258514135
CD80,0.0031950614507281765
IL12B,0.0031702192248517433
ITGA9,0.0031657801242095398
DPP4,0.003105995650013832
PTPN6,0.0030715633196356914
EFNA5,0.0030388354596676023
MDK,0.0029930613012681896
ITGA2B,0.002902497506779471
ITGB7,0.002844774990275212
NRXN1,0.0028426120015943366
EGF,0.0028383618621699346
ACVR1B,0.00281304931115261
ACKR1,0.0027568984335228797
SST,0.0027336842400631956
LEPR,0.0026500206790112803
ITGA8,0.0026421178259517426
APOB,0.002596090188925253
TP53,0.002532722507655359
IFNGR2,0.0025171203570353608
HBEGF,0.002497329564254734
NECTIN2,0.0024530270082410055
IFNG,0.0024131684922287003
SEMA3C,0.002404576568160883
RPS6KB1,0.002399712867771822
GAL,0.0023634089518262203
CRH,0.002290824053658636
CSF3,0.0022885420302107525
IL7R,0.002269151210692579
ACKR2,0.0022592608094244506
PTN,0.0022285695401304843
PLAU,0.0021746191768038533
IL10RB,0.0021570918674897748
APOE,0.0021282265945372267
PTK2B,0.002098451753729545
PIK3R1,0.002079816166074163
SOCS2,0.0020316722289531537
KDR,0.002005035755369218
VEGFA,0.001995164031148641
PILRA,0.001984557302315069
ESR1,0.0019602015524377166
